Book	Sht	Row	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	496	13	EZERTECH CORPORATION	DIURON	JURON 80 WP	800 g/Kg	WP	HERBICIDE	4	648-021-5038	18/02/2023	SYSTEMIC	Sugarcane	Blanket application on broadleaves and annual grasses
500-599	496	14	EZERTECH CORPORATION	DIURON	JURON 80 WP	800 g/Kg	WP	HERBICIDE	4	648-021-5038	18/02/2023	SYSTEMIC	Cotton	Blanket application on broadleaves and annual grasses
500-599	496	15	EZERTECH CORPORATION	DIURON	JURON 80 WP	800 g/Kg	WP	HERBICIDE	4	648-021-5038	18/02/2023	SYSTEMIC	Pineapple	Blanket application on broadleaves and annual grasses
500-599	496	16	EZERTECH CORPORATION	DIURON	JURON 80 WP	800 g/Kg	WP	HERBICIDE	4	648-021-5038	18/02/2023	SYSTEMIC	Non-crop land	Direct spray on broadleaves and aanual grasses
500-599	496	17	EZERTECH CORPORATION	DIURON	JURON 80 WG	800 g/kg	WG	HERBICIDE	4	648-021-5264	27/10/2023	SYSTEMIC	Citrus	Annual and Perennial broadleaves and grasses
500-599	496	18	EZERTECH CORPORATION	DIURON	JURON 80 WG	800 g/kg	WG	HERBICIDE	4	648-021-5264	27/10/2023	SYSTEMIC	Coffee	Annual and Perennial broadleaves and grasses
500-599	496	19	EZERTECH CORPORATION	DIURON	JURON 80 WG	800 g/kg	WG	HERBICIDE	4	648-021-5264	27/10/2023	SYSTEMIC	Cotton	Annual and Perennial broadleaves and grasses
500-599	496	20	EZERTECH CORPORATION	DIURON	JURON 80 WG	800 g/kg	WG	HERBICIDE	4	648-021-5264	27/10/2023	SYSTEMIC	Sugarcane	Annual and Perennial broadleaves and grasses
500-599	496	21	EZERTECH CORPORATION	DIURON	JURON 80 WG	800 g/kg	WG	HERBICIDE	4	648-021-5264	27/10/2023	SYSTEMIC	Pineapple	Annual and Perennial broadleaves and grasses
500-599	496	22	EZERTECH CORPORATION	DIURON	JURON 80 WG	800 g/kg	WG	HERBICIDE	4	648-021-5264	27/10/2023	SYSTEMIC	Non-crop land	Annual and Perennial broadleaves and grasses
500-599	496	23	EZERTECH CORPORATION	DIURON	JURON 80 SC	800 g/L	SC	HERBICIDE	4	648-021-5040	18/02/2023	SYSTEMIC	Citrus	Blanket application on broadleaves and annual grasses
500-599	496	24	EZERTECH CORPORATION	DIURON	JURON 80 SC	800 g/L	SC	HERBICIDE	4	648-021-5040	18/02/2023	SYSTEMIC	Coffee	Direct spray on broadleaves and annual grasses
500-599	496	25	EZERTECH CORPORATION	DIURON	JURON 80 SC	800 g/L	SC	HERBICIDE	4	648-021-5040	18/02/2023	SYSTEMIC	Cotton	Blanket application on broadleaves and annual grasses
500-599	496	26	EZERTECH CORPORATION	DIURON	JURON 80 SC	800 g/L	SC	HERBICIDE	4	648-021-5040	18/02/2023	SYSTEMIC	Sugarcane	Blanket application on broadleaves and annual grasses
500-599	496	27	EZERTECH CORPORATION	DIURON	JURON 80 SC	800 g/L	SC	HERBICIDE	4	648-021-5040	18/02/2023	SYSTEMIC	Pineapple	Blanket application on broadleaves and annual grasses
500-599	497	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	497	1	EZERTECH CORPORATION	DIURON	JURON 80 SC	800 g/L	SC	HERBICIDE	4	648-021-5040	18/02/2023	SYSTEMIC	Non-crop land	Direct spray on broadleaves and annual grasses
500-599	497	2	TRIPLE DIAMONDS AGRICULTURE	BUTACHLOR	JUDO 60 EC	600g/L	EC	HERBICIDE	4	605-150-4231	11/01/2021	PRE-EMERGENT	Rice (Direct-Seeded)	Grasses and Sedges
500-599	497	3	TRIPLE DIAMONDS AGRICULTURE	BUTACHLOR	JUDO 60 EC	600g/L	EC	HERBICIDE	4	605-150-4231	11/01/2021	PRE-EMERGENT	Rice (Transplanted)	Grasses and Sedges
500-599	497	4	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Glyphosate tolerantcorn	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	5	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Mango	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	6	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Banana	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	7	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Coffee	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	8	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Cacao	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	9	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Rubber	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	10	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Oil palm	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	11	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Citrus	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	12	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Coconut	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	13	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Sugarcane	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	14	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	Vegetables	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	15	GREEN DRAGON RESOURCES CORPORATION	GLYPHOSATE IPA	J-PLUS 480 SL	480 g/L	SL	HERBICIDE	4	652-151-4823	09/03/2022	POST-EMERGENT	non-crop	"Annual & perennial grasses, broadleaf weeds & sedges"
500-599	497	16	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Fruit trees	"Aphids, mealy bug scale insect"
500-599	497	17	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Rice	"Armyworm, caseworm, leafhopper, bugs"
500-599	497	18	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Corn	"Earworm, silkworm, aphids, grasshopper"
500-599	497	19	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Cabbage	"Cabbage worm, loopers, diamond-back moth"
500-599	497	20	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Legumes	"Aphids, beanfly, cutworm, flea beetles, leafminer, maggots,mealybug, podborer, thrips"
500-599	497	21	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Grapes	"Beetles, cutworm, leafhopper, mealybug, scale, insect, spider mites"
500-599	497	22	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Pineapple	Mealy bug
500-599	497	23	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Pepper	"Aphid, cutworm, fruitworm"
500-599	497	24	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Garlic	Cutworm
500-599	497	25	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Onion	Cutworm
500-599	497	26	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Tobacco	"Aphids, katyidid"
500-599	497	27	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Ornamentals	"Aphids, cutworm, mealybug, scale insect, spider mites"
500-599	497	28	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Tomato	Lady beetle
500-599	498	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	498	1	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Eggplant	"Aphids, fruitworm"
500-599	498	2	"JYNNSONS PHILIPPINES, INC."	MALATHION	JPI MALATHION 57 EC	570 g/L	EC	INSECTICIDE	4	551-038-3954	23/12/2022	NON-SYSTEMIC	Sorghum	Web worm
500-599	498	3	"JYNNSONS PHILIPPINES, INC."	ATRAZINE	JPI ATRAZINE 80 WP	800g/kg	WP	HERBICIDE	4	551-065-4377	31/05/2024	SELECTIVE (PRE-EMERGENT)	Corn	Broadleaf weeds & annual grasses
500-599	498	4	"JYNNSONS PHILIPPINES, INC."	ATRAZINE	JPI ATRAZINE 80 WP	800g/kg	WP	HERBICIDE	4	551-065-4377	31/05/2024	SELECTIVE (PRE-EMERGENT)	Sorghum	Broadleaf weeds & annual grasses
500-599	498	5	"JYNNSONS PHILIPPINES, INC."	ATRAZINE	JPI ATRAZINE 80 WP	800g/kg	WP	HERBICIDE	4	551-065-4377	31/05/2024	SELECTIVE (PRE-EMERGENT)	Sugarcane	Broadleaf weeds & annual grasses
500-599	498	6	"JYNNSONS PHILIPPINES, INC."	"2,4-D IBE"	"JPI 2,4-D ESTER"	490 g/L	EC	HERBICIDE	2	551-049-4011	28/03/2023	SELECTIVE (POST-EMERGENT)	Rice (Transplanted)	Annual Broadleaves & sedges
500-599	498	7	"JYNNSONS PHILIPPINES, INC."	"2,4-D IBE"	"JPI 2,4-D ESTER"	490 g/L	EC	HERBICIDE	2	551-049-4011	28/03/2023	SELECTIVE (POST-EMERGENT)	Corn	Annual Broadleaves & sedges
500-599	498	8	"JYNNSONS PHILIPPINES, INC."	"2,4-D IBE"	"JPI 2,4-D ESTER"	490 g/L	EC	HERBICIDE	2	551-049-4011	28/03/2023	SELECTIVE (POST-EMERGENT)	Sugarcane	Annual Broadleaves & sedges
500-599	498	9	"JYNNSONS PHILIPPINES, INC."	"2,4-D AMINE"	"JPI 2,4-D AMINE"	400 g/L	EC	HERBICIDE	2	551-013-3999	17/03/2023	SELECTIVE (POST-EMERGENT)	Rice (Transplanted)	Annual broadleaves and sedges
500-599	498	10	"JYNNSONS PHILIPPINES, INC."	"2,4-D AMINE"	"JPI 2,4-D AMINE"	400 g/L	EC	HERBICIDE	2	551-013-3999	17/03/2023	SELECTIVE (POST-EMERGENT)	Sugarcane	Annual broadleaves and sedges
500-599	498	11	"JYNNSONS PHILIPPINES, INC."	"2,4-D AMINE"	"JPI 2,4-D AMINE"	400 g/L	EC	HERBICIDE	2	551-013-3999	17/03/2023	SELECTIVE (POST-EMERGENT)	Corn	Annual broadleaves and sedges
500-599	498	12	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Corn	"Borer, earworm, grubs, seedling maggot"
500-599	498	13	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Cotton	"Nematodes, grubs"
500-599	498	14	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Eggplant	Fruitborer
500-599	498	15	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Field legumes	Grubs
500-599	498	16	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Rice	"Stem borer, whorl maggot, leafhopper, leaffolder, caseworm, planthopper"
500-599	498	17	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Soybeans	"Bean fly, grubs, nematodes, other soilinsects"
500-599	498	18	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Sugarcane	"Borer, leafhopper, mealy bug, scale insects"
500-599	498	19	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Tobacco	"Nematodes, budworm"
500-599	498	20	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	White potato	"Nematodes, grubs"
500-599	498	21	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Cowpea	"Bean fly, grubs, neamatode, other soil insects"
500-599	498	22	LICHEMPHIL INTERNATIONAL INC.	CARBOFURAN	JORDAN 3G	30 g/Kg	G	INSECTICIDE	2	590-104-5332	01/02/2024	-	Ornamentals	"Scale insects, aphids, mealy bug"
500-599	498	23	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Rice	"Green leafhopper, armyworm, rice bug, leaffolder, black bug"
500-599	498	24	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Mango	Hoppers
500-599	498	25	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Tomato	"Fruitworm, cutworm, aphids"
500-599	498	26	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Onion	"Thrips, cutworm"
500-599	498	27	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Mungbeans	"Beanfly, flea bettle, leafhopper, aphids, mites, podborer"
500-599	499	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	499	1	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Corn	"Cornborer, aphids, seedling maggots"
500-599	499	2	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Tobacco	"Budworm, Cutworm, aphids, katydids"
500-599	499	3	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Cotton	Bollworm
500-599	499	4	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Cocoa	Podborer
500-599	499	5	SL BIOTECH CORPORATION	LAMBDA-CYHALOTHRIN	JOLINA 2.5 EC	25 g/L	EC	INSECTICIDE	2	488-204-2736	10/12/2022	SYSTEMIC	Watermelon	"Squash beetle, melon worm"
500-599	499	6	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Potato	Early and late blight
500-599	499	7	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Cabbage	"Downy mildew, alternaria leaf spot"
500-599	499	8	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Cauliflower	"Downy mildew, alternaria leaf spot"
500-599	499	9	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Broccoli	"Downy mildew, alternaria leaf spot"
500-599	499	10	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Celery	Late blight
500-599	499	11	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Cucumber	"Downy mildew, Anthracnose, Scab"
500-599	499	12	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Squash	"Downy mildew, Anthracnose, Scab"
500-599	499	13	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Cotton	Damping oil
500-599	499	14	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		lettuce	Downy mildew
500-599	499	15	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Beans	"Anthracnose, Downy mildew,  Rust"
500-599	499	16	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Peas	"Anthracnose, Downy mildew,  Rust"
500-599	499	17	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Mungo	"Anthracnose, Downy mildew,  Rust"
500-599	499	18	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Tomato	"Early and late blight, Anthracnose, Septoria leaf spot"
500-599	499	19	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Garlic	"Purple blotch, downy mildew, botrytis leaf blight"
500-599	499	20	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Onion	"Purple blotch, downy mildew, botrytis leaf blight"
500-599	499	21	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Pepper	Anthracnose
500-599	499	22	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Chili	Anthracnose
500-599	499	23	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Eggplant	"Blight, Anthracnose"
500-599	499	24	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Banana	"Sigatoka, Black leaf streak"
500-599	499	25	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Grapes	"Downy mildew, black rot"
500-599	499	26	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Mango	Anthracnose and Scab
500-599	499	27	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Papaya	Fruit rot
500-599	499	28	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Melon	"Downy mildew, Anthracnose, Scab"
500-599	500	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
500-599	500	1	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Watermelon	"Downy mildew, Anthracnose, Scab"
500-599	500	2	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Corn (Sweet andPopcorn)	Helminthosporium leaf spot
500-599	500	3	JOEPABS AGRICHEM CORPORATION	MANCOZEB	JOEPABS MANCOZEB 80 WP	800 g/Kg	WP	FUNGICIDE	4	538-053-3571	17/06/2022		Rice	"Blast, Sheath blight, cercospora leaf spot, helminthosporium leafspot"
