"pestcode","pestdesc"
"ITL    ","THRIP - ADULT & LARVAL"
"ITSML  ","TWO SPOTTED MITE - ADULT & LARVAL"
"IWCA1  ","CAECAL WORM - HETERAKIS GALLINAE"
"IWCOC  ","COOPERIA ONCOPHORA"
"IWCOC1 ","SMALL INTESTINAL WORM - C. ONCOPHORA"
"IWCP   ","COOPERIA PUNCTATA"
"IWCST  ","COOPERIA SPATULATA"
"IWCT   ","CYATHOSTOMES"
"IWFB   ","POINSETTIA WHITEFLY"
"IWOT   ","OSTERTAGIA TRIFURCATA"
"IWR4   ","ROUNDWORM - TOXOCARA CATI"
"IWR5   ","ASCAROPS STRONGYLINA"
"IWR9   ","ROUNDWORM - TOXASCARIS SPP."
"IWRB   ","BARBER'S POLE WORM-HAEMONCHUS CONTORTUS"
"IWRCS  ","LARGE MOUTH BOWEL WORM - CHABERTIA SPP."
"IWRHW2 ","HOOKWORM"
"IWRHW4 ","HOOKWORM - BUNOSTOMUM TRIGONOCEPHALUM"
"IWRHW8 ","HOOKWORM - ANCYLOSTOMA CANINUM"
"IWRI2  ","INTESTINAL THREADWORM-STRONGYLOIDES SPP."
"IWRIH  ","INTESTINAL HAIR WORM - T. COLUBRIFORMIS"
"IWRLB1 ","LARGE BOWEL WORM - OESOPHAGOSTOMUM SPP."
"IWRLL  ","LARGE LUNGWORM - DICTYOCAULUS FILARIA"
"IWRN1  ","NODULE WORM - OESOPHAGOSTOMUM RADIATUM"
"IWROL  ","OSTERTAGIA LEPTOSPICULARIS"
"IWRSI2 ","SMALL INTESTINAL WORM - C. CURTICEI"
"IWSE   ","LARGE STRONGYLES - STRONGYLUS EDENTATUS"
"IWT2   ","TAPEWORM - EXCLUDING HYDATID"
"IWT8   ","TAPEWORM - RAILLIETINA SPP."
"IWTD   ","THREADWORM - CAPILLARIA SPP."
"MGHHH  ","HORTICULTURAL TREE CROPS"
"MTFBZ1 ","TURF GRASSES"
"PAST1  ","PASTEURELLA MULTOCIDA"
"PIBA   ","TICK FEVER - BOVINE BABESIOSIS"
"TCNAA  ","THINNING IN COMBINATION WITH NAA"
"TRICH  ","TRICHOTHECENE"
"UAF1   ","EUROPEAN RED FOX"
"UARB2  ","RODENT RESITANT TO BROMADIOLONE"
"UEW    ","EARTHWORM"
"UMIA   ","BROAD MITE"
"UMIBP  ","PEARLEAF BLISTER MITE"
"UMIBS  ","BANANA SPIDER MITE"
"UMIEH  ","RABBIT EAR MITE"
"UMIF   ","BRYOBIA MITE"
"UMIG   ","BUNCH MITE"
"UMILL  ","LEAF MITE"
"UMIM   ","MANGE MITE"
"UMIME  ","DOG MANGE MITE"
"UMIO   ","BLUE OAT OR PEA MITE"
"UMIOR  ","MITE - ORNITHONYSSUS SPP."
"UMIR   ","TOMATO RUSSET MITE"
"UMIRG  ","EUROPEAN RED MITE (ERM) - EGGS"
"UMIRM  ","RAT MITE"
"UMIUB  ","BROWN CITRUS RUST MITE"
"UMIUC  ","CITRUS RUST MITE OR MAORI MITE"
"UMIW   ","POULTRY MITE"
"UMLP1  ","PORTUGESE MILLIPEDES"
"UNDM1  ","DUST MITE"
"UNE    ","NEMATODE/EELWORM"
"UNEAL  ","LEAF NEMATODE"
"UNEC   ","CYST NEMATODE"
"UNEI   ","SPIRAL NEMATODE"
"UNER   ","RING NEMATODE"
"USN2   ","SNAIL - SEE LABEL FOR EXCEPTIONS"
"USNBW  ","WHITE BRADYBAENA SNAIL"
"USNC   ","COMMON GARDEN (BROWN) SNAIL"
"USNV   ","VINEYARD SNAIL"
"UST    ","SPRINGTAIL"
"USTG   ","GLOBULAR SPRINGTAIL"
"UTIA   ","ARTHROPOD"
"VAMD   ","MOUSE - MUS DOMESTICUS"
"VAOP   ","ORGANOPHOSPHATE POISONING"
"VBACT1 ","ACTINOBACILLUS SPP."
"VBAE   ","ESCHERICHIA COLI (E. COLI)"
"VBAF1  ","FUSOBACTERIUM NECROPHORUM"
"VBAL   ","ALCALIGINES SPP."
"VBBD   ","BLACK DISEASE"
"VBBE   ","BODY SLIME & EYE CLOUD"
"VBET   ","ENTEROTOXAEMIA (PULPY KIDNEY)"
"VBGCCCP","CORYNEBACTERIUM PYOGENES"
"VBGP   ","PROTEUS SPP."
"VBGS   ","SHIGELLA SPP."
"VBGS7  ","STREPTOCOCCUS CANIS"
"VBGSSS ","STREPTOCOCCI"
"**019S ","IMPROVE RAIN/FASTNESS"
"0      ","NOT APPLICABLE (VET)"
"1ZOG1  ","GOOSE GRASS"
"AVM13.3","Electrolytes"
"BCLO   ","CLOSTRIDIA"
"BGW    ","GREEN WATER"
"BMAT   ","ACTINOBACILLUS PLEUROPNEUMONIAE (HAEMOPH"
"BMSP   ","SERPULINA (TREPONEMA) HYODYSENTERIAE"
"CEFL   ","FLOWER LIFE - EXTEND"
"CO     ","CYSTIC OVARIES"
"DCMPC  ","PRECLINICAL DCM"
"E      ","EXTERNAL PARASITE"
"EPPC   ","COPEPODS"
"FAGE   ","DYING ARM DISEASE"
"FAGR1  ","CONTROL ROOT GROWTH"
"FAVG   ","VEGETABLE - REFER TO LABEL"
"FCY    ","INCREASE CROP YIELD"
"FGGS   ","GROWTH SUPPRESSION"
"FSMS   ","MUSCULAR STIMULANT"
"FVANT  ","ANTISERUM"
"FVDF   ","FOOT DISINFECTION"
"FVFL   ","PREVENTION/CORRECTION OF FATTY LIVER CHA"
"FVGB   ","REGULATION OF GLYCOGEN BALANCE"
"FVID3  ","IMPROVE DIGESTIBILITY OF SORGHUM FEED"
"ICRM   ","CITRUS RED MITE"
"IFL1   ","LIVER FLUKE - MATURE AND IMMATURE"
"IFL2   ","LIVER FLUKE - SEE LABEL"
"IHOS   ","OLEANDER SCALE"
"ILFD   ","FEATHER MITE - DUBININIA SPP."
"ILLS   ","SUGARCANE ARMYWORM - L. STENOGRAPHA"
"ILWE   ","WEEVIL - LEAFEATING"
"IPWF   ","POINSETTIA WHITEFLY"
"ISA    ","GERANIUM PLUME MOTH"
"IWE    ","EYEWORM - THELAZIA SPP."
"IWL    ","LUNGWORM"
"IWL1   ","LUNGWORM - DICTYOCAULUS VIVIPARUS"
"IWLC   ","LUNGWORM - CAT"
"IWLL2  ","LUNGWORM - DICTYOCAULUS FILARIA"
"IWNH   ","NEMATODIRUS HELVETIANUS"
"IWOC1  ","O. CIRCUMCINCTA - INCLUDING INHIBITED L4"
"IWOD   ","OSTERTAGIA DAVTIANI"
"IWPM   ","TAPEWORM - PARANOPLOCEPHALA MAMMILLANA"
"IWR    ","ROUNDWORM"
"IWR1   ","ROUNDWORM - ASCARIDIA GALLI"
"IWRB1  ","BARBER'S POLE WORM - HAEMONCHUS PLACEI"
"IWRB5  ","HAEMONCHUS SIMILIS"
"IWRBS  ","BLACK SCOUR WORM - TRICHOSTRONGYLUS SPP."
"IWRBS5 ","BLACK SCOUR WORM - T COLUBRIFORMIS"
"IWRHW9 ","HOOKWORM - ACUARIA SPP."
"IWRS2  ","REDWORM - STRONGYLUS SPP."
"IWRSB  ","SMALL BROWN STOMACH WORM-OSTERTAGIA SPP."
"IWRTV  ","LARGE ROUNDWORM - TOXOCARA VITULORUM"
"IWRV1  ","STRONGYLUS VULGARIS - MIGRATING STAGES"
"IWSEA  ","LARGE STRONGYLES - STRONGYLUS EQUINUS"
"IWSL   ","STRONGYLES - LARVAE"
"IWSS   ","SMALL STRONGYLES-BENZIMIDAZOLE RESISTANT"
"IWT1   ","TAPEWORM - ANOPLOCEPHALA PERFOLIATA"
"IWT11  ","TAPEWORM - TAENIA TAENIAEFORMIS"
"IWW2   ","WHIPWORM - TRICHURIS OVIS (ADULTS ONLY)"
"MSGP   ","MOXIDECTIN SENSITIVE GASTROINTESTINAL"
"NWTHPS ","NORTHERN PLAGUE THRIPS-SUPPRESSION ONLY"
"PAST2  ","PASTEURELLA HAEMOLYTICA"
"PAST5  ","MANNHEIMIA HAEMOLYTICA"
"PESF   ","SKIN FLUKE"
"PIWH1  ","HEARTWORM - LARVAE"
"PM     ","PATHOGENIC MOULD"
"POVET  ","POST-OPERATIVE"
"UABB   ","BLACKBIRD"
"UABP   ","PIGEON"
"UAC    ","CAT"
"UAG    ","MARINE ORGANISMS"
"UAMM   ","MOUSE "
"UART2  ","AUSTRALIAN NATIVE CLIMBING RAT"
"UARTB  ","BROWN RAT"
"ULE    ","LEECH"
"UMI2   ","MITE - TETRANYCHUS SPP."
"UMIBC  ","BIOLOGICAL CONTROL OF MITES"
"UMICA  ","CARMINE MITE"
"UMIJ   ","TROPICAL POULTRY MITE"
"UMIMF  ","CAT MANGE MITE"
"UMIMG  ","EAR MANGE MITE"
"UMION  ","MITE - OPHIONYSSUS NATRICIS"
"UMIT   ","CARMINE MITE"
"UMITM  ","TOMATO MITES"
"UNEE   ","NEMATODE EGGS"
"UNNW   ","SPIDER - NON-WEB SPINNING"
"UNZ    ","ZOOPLANKTON"
"USL    ","COMMON SLUG"
"USN1   ","COMMON GARDEN VINE SNAIL"
"USN5   ","SMALL BROWN SNAIL"
"USNW   ","WHITE SNAIL"
"UTIPA  ","AUSTRALIAN PARALYSIS TICK"
"VAEG   ","EPILEPSY - GRANDMAL"
"VBAB   ","BACTEROIDES SPP."
"VBCH1  ","PSITTACOSIS/ORNITHOSIS"
"VBFS   ","FOOTSCALD"
"VBGC3  ","HAEMORRHAGIC ENTEROTOXAEMIA"
"VBGD   ","BRUCELLA SPP."
"VBGEN  ","ENDOTOXAEMIA"
"VBGH   ","HAEMOPHILUS SPP."
"VBGSS  ","STAPHYLOCOCCI"
"VBGX41 ","PREVENTION OF PORCINE CIRCOVIRUS TYPE 2"
"VBGX5  ","INTESTINAL COCCIDIOSIS"
"VBHP2  ","HAEMOPHILUS PARASUIS SEROVAR 4"
"VBIE1  ","EIMERIA ZUERNII"
"VBMY   ","YEAST OVERGROWTH (MALASSEZIA)"
"VBPC   ","CALF PNEUMONIA"
"VBRB   ","BRONCHITIS"
"VBS    ","SALMONELLA SPP."
"VBSE2  ","ERYSIPELOTHRIX RHUSIOPATHIAE"
"VBSO   ","BACTERIAL OVERGROWTH (STAPHYLOCOCCAL)"
"VCVL   ","VALVULAR LESIONS - HEART"
"VDBE   ","EXTERNAL BACTERIAL DISEASE"
"VDBRR1 ","BOVINE ROTAVIRUSES"
"VDCD   ","COGNITIVE DYSFUNCTION SYNDROME"
"VDDA   ","ATOPIC DERMATITIS"
"VDEB   ","EUROPEAN BROOD DISEASE"
"VDED   ","EXUDATIVE DIATHESIS"
"VDEP   ","CALF PNEUMOENTERITIS"
"VDFC   ","FELINE CALICIVIRUS"
"VDGD   ","GLASSERS DISEASE"
"VDGG   ","INCREASE GAMMA GLOBULIN LEVELS OF FOALS"
"VDIF   ","FOWL POX"
"VDIH   ","PROSTATE HYPERPLASIA"
"VDKC   ","KENNEL COUGH"
"VDND   ","NEWCASTLE DISEASE"
"VDPC   ","PROSTATIC CARCINOMATA"
"VDPD   ","PERIODONTAL DISEASE"
"VDPY   ","POLYSEROSITIS"
"VDSAL  ","SALMONELLA TYPHIMURIUM"
"VDSK   ","SLIMY SKIN DISEASE"
"VDTU   ","'TIED UP' SYNDROME"
"VDVD   ","CHRONIC DEGENERATIVE VALVULAR DISEASE"
"**020S ","REDUCE SPRAY DRIFT"
"AVM19..","VACCINE"
"BLTPW  ","BLUE TOP PIG WEED"
"BMC    ","CYANOBACTERIA"
"CAHUT  ","HISTOPHILUS SOMNI"
"CCCCC  ","WAITING FOR PEST CODE"
"CRCL   ","CORPUS LUTEUM -CONTROL OF REPRODUCTION"
"DEFOX  ","SYMPTOMATIC DEFICIT OF OXYGEN CAPACITY"
"FAAS   ","AQUATIC SITUATIONS"
"FAGR   ","REGULATE PLANT GROWTH"
"FAPDH  ","PARAQUAT AND DIQUAT HERBICIDES"
"FAR    ","MODIFY ALKALOID RATIO"
"FGCA   ","COMPATIBILITY AGENT"
"FGDE   ","IRON DEFICIENCY IN PLANTS"
"FGPR1  ","PROMOTE ROOT GROWTH"
"FIREHAZ","FIRE HAZARD ELIMINATION"
"FRA    ","ANIMAL"
"FVAD   ","INTESTINAL ABSORPTIVE DISORDERS"
"FVAF   ","FEED ADDITIVE"
"FVAN1  ","ANAESTHETIC - GENERAL"
"FVAP   ","ANTIPYRETIC"
"FVATS  ","ANTIVENOM - TIGER SNAKE BITE"
"FVDI   ","DISINFECTION - OBSTETRICAL PROCEDURES"
"FVID11 ","IMPROVE DIGESTIBILITY OF PROTEIN"
"FVID7  ","IMPROVE DIGESTIBILITY OF OIL SEEDS"
"FVRP   ","IMPROVE REPRODUCTIVE PERFORMANCE"
"IAM    ","ANT MOUND"
"IDO1   ","CATTLE GRUB - HYPODERMA LINEATUM"
"IEC    ","EARLY COLONISATION OF INTESTINAL TRACT"
"IH     ","PLANT BUGS"
"IHAB   ","SWEETPOTATO WHITEFLY"
"ILL    ","LIGHT BROWN APPLE MOTH - ADULT/LARVAL"
"ILNM   ","ARMYWORM - MYTHIMNA SPP."
"ILNML  ","SUGARCANE ARMYWORM - MYTHIMNA LOREYIMIMA"
"ILNMS  ","NORTHERN ARMYWORM - MYTHIMNA SEPARATA"
"ILNPD  ","INLAND ARMYWORM"
"ISW    ","SCREW WORM FLY - CHRYSOMYA BEZZIANA"
"IWAM   ","TAPEWORM - ANOPLOCEPHALA MAGNA"
"IWB2   ","RINGWORM - TRICHOPHYTON SPP."
"IWC    ","HEARTWORM"
"IWC1   ","HEARTWORM - PREVENTION OF"
"IWCS   ","COOPERIA SURNABADA"
"IWGP   ","GAPEWORM - SYNGAMUS SPP."
"IWLL1  ","LARGE LUNGWORM - ADULT & L4 STAGES"
"IWNA   ","NEMATODIRUS ABNORMALIS"
"IWNF   ","NEMATODIRUS FILICOLLIS"
"IWRB4  ","BARBER'S POLE WORM - HAEMONCHUS SPP."
"IWRHW  ","HOOKWORM - BUNOSTOMUM SPP."
"IWRHW1 ","HOOKWORM - BUNOSTOMUM PHLEBOTOMUM"
"IWRHW5 ","HOOKWORM - UNCINARIA STENOCEPHALA"
"IWRHWA ","HOOKWORM - ANCYLOSTOMA BRAZILIENSE"
"IWRLMS ","LARGE MOUTH STOMACH WORM"
"IWROT  ","OSTERTAGIA TYPE - ADULT"
"IWRSK  ","SKRJABINAGIA KOLCHIDA"
"IWT15  ","TAPEWORM - SEGMENTS"
"IWTH   ","TAPEWORM (MONIEZIA SPP.) - HEAD/SEGMENTS"
"IWTTO  ","SHEEP MEASLES TAPEWORM - TAENIA OVIS"
"IWW3   ","WHIPWORM - TRICHURIS SUIS"
"LWBT   ","LITTER BEETLE"
"OPHM   ","OPHTHALMOLOGY"
"PAST3  ","TRANSPORT PASTEURELLA PNEUMONIA"
"PESU   ","PEDUNCLE - REDUCTION IN LENGTH"
"PGO    ","ORGANISMS SENSITIVE TO OXYTETRACYCLINE"
"PIAN   ","TICK FEVER - BOVINE ANAPLASMOSIS"
"REHYD  ","REHYDRATION"
"SURG   ","SURGERY"
"TRATD  ","FILAMENTOUS FUNGUS"
"UA     ","WILDLIFE"
"UABMI  ","INDIAN MYNA"
"UABS   ","SPARROW"
"UACS   ","COMMON STARLING"
"UMIFL  ","SCALY FACE AND LEG MITE"
"UMIH   ","HOUSE DUST MITE"
"UMIMS1 ","SARCOPTES SCABEI VAR. BOVIS"
"UMIPO  ","PSOROPTES OVIS"
"UMITE  ","SIX SPOTTED MITE"
"UMIY   ","STARLING MITE"
"UNEUS  ","BURROWING NEMATODE - RADOPHOLUS SIMILIS"
"UNVA   ","VERMINOUS ARTERITIS"
"USTB   ","BLACK SPRINGTAIL"
"UTI    ","TICK"
"UTIB   ","BUSH TICK"
"UTIRP  ","TICK - RHIPICEPHALUS SPP."
"UVER   ","VERMIN"
"UWE    ","WORM EGG"
"VBAA   ","ACTINOBACTER SPP."
"VBAB1  ","BACTEROIDES MELANINOGENICUS"
"VBACTL ","ACTINOBACILLUS LIGNIERESII"
"VBAR   ","PROPIONIBACTERIUM SPP."
"VBAS   ","SALMONELLA"
"VBBL   ","BLACKLEG"
"VBCL   ","CASEOUS LYMPHADENITIS (CHEESY GLAND)"
"VBGA   ","ACTINOMYCES SPP."
"VBGAS  ","ACINETOBACTER SPP."
"VBGC1  ","BORDETELLA BRONCHISEPTICA"
"VBGCA  ","ARCANOBACTERIUM SPP."
"VBGEEF ","ENTEROCOCCUS FAECALIS"
"VBGMX  ","MORAXELLA SPP."
"VBGV1  ","VIBRIO ANGUILLARUM"
"VBHP3  ","HAEMOPHILUS PARASUIS SEROVAR 5"
"VBPY   ","PYODERMA"
"VBRP   ","PNEUMONIA"
"VBSE1  ","ERYSIPELAS INFECTION"
"VBT    ","TETANUS"
"VBTA   ","AGALACTIA"
"VBUVL  ","VAGINAL LACERATION INFECTION"
"VCTBT1 ","BOTULISM"
"VDCH   ","CHOLERA"
"VDCRD  ","CHRONIC RESPIRATORY DISEASE COMPLEX"
"VDFA   ","FATTY LIVER"
"VDGIN  ","GINGIVITIS"
"VDMD   ","MYCOTIC DERMATITIS"
"VDMY1  ","MYCOPLASMA HYOPNEUMONIAE"
"VDRFT  ","FIN AND TAIL ROT"
"VFCO   ","COBALT DEFICIENCY"
"VFIR   ","NEONATAL IRON DEFICIENCY ANAEMIA"
"VG2    ","RE-ESTABLISHMENT OF GUT MICROFLORA"
"VG20   ","ORGANISMS SENSITIVE TO TILMICOSIN"
"VG7    ","DEHYDRATION"
"VGARS  ","ARSENIC INJECTION"
"VGCA   ","CALCIUM OXALATE - REDUCE RECURRENCE"
"VGDS   ","DISC PROBLEMS"
"VGDY   ","DYSENTERY"
"VGFA   ","HOMOLOGOUS TYPES OF FOWL ADENOVIRUS INFE"
"VGGS   ","GIRTH/SADDLE PROBLEMS"
"VGIDE  ","IMPROVE DIGESTIVE EFFICACY"
"VGIDS  ","INTERVERTEBRAL DISC SYNDROME"
"VGINI  ","INGREDIENT AND NUTRIENT INTOLERANCE"
"VGIP   ","PRODUCTIVITY IMPROVEMENTS"
"VGIR   ","ITCH - RELIEF"
"VGLB   ","SUPPRESSION OF LACTION IN BITCHES"
"VGMH   ","MAINTENANCE OF HEALTH"
"VGML   ","MILK LETDOWN"
"VGMS   ","MOOD STABILISER"
"**017S ","MARINE TOREDO WORM"
"AD     ","ALKALI DETERGENT"
"AVM17.4","TOPICAL ANTIPRURITICS, CORTICOSTEROIDS"
"AVM6.3.","Clotting agents"
"BAER   ","ERYSIPELOTHRIX SPP."
"BMMY   ","MYCOPLASMA HYORHINIS"
"DDD001 ","BACTERIAL SOFT ROT"
"DESBW  ","DESICCATE BROADLEAF WEEDS"
"FAEC   ","ENHANCE COLOUR UNIFORMITY & QUALITY"
"FAG    ","REFER TO GLYPHOSATE 450 G/L LABEL"
"FAGRFF ","REDUCTION IN FLOWERING AND FRUITING"
"FAMYX  ","MYXOMATOSIS - INITIATE DISEASE SPREAD"
"FCCS   ","INCREASE COMMERCIAL CANE SUGAR (CCS)"
"FGCLR  ","REDUCES LOSS OF CHLORINE TO SUNLIGHT"
"FGOE   ","ODOUR & EVAPORATION REDUCTION"
"FVB    ","BRONCHODILATOR"
"FVBRA  ","REDUCE AGGRESSION"
"FVCN   ","CENTRAL NERVOUS SEDATIVE"
"FVID1  ","IMPROVE DIGESTIBILITY OF BARLEY"
"FVID2  ","IMPROVE DIGESTIBILITY OF CEREAL FEEDS"
"FVID4  ","IMPROVE DIGESTIBILITY OF TRITICALE"
"FVM    ","DISTURBED LIPID METABOLISM"
"FVWSB  ","WOOL SHEARING - BIOLOGICAL"
"IAL    ","APHIDS - ADULT & LARVAL"
"ICBB   ","BANANA BEETLE BORER"
"IEQM   ","QUILL MITES"
"IF     ","FLUKE"
"IGAU   ","GAU INSECTS"
"IGS    ","INCREASE GROWTH STIMULATION"
"IISM   ","AIR SAC MITES"
"ILFF   ","FEATHER MITE - PROTOLICHUS SPP."
"ILPM   ","PELARGOMIUN MOTH LARVAE"
"ILYC   ","LYCTID"
"IPPL   ","PEAR LOOPER"
"IRBS   ","RED BACK SPIDER"
"IWA    ","ANCHOR WORM"
"IWB1   ","RINGWORM - MICROSPORUM SPP."
"IWCS1  ","SMALL INTESTINAL WORM - C. SURNABADA"
"IWE1   ","EYEWORM - OXYSPIRURA MANSONI"
"IWH1   ","STOMACH WORM - HABRONEMA MICROSTOMA"
"IWL6   ","LARGE LUNGWORM - DICTYOCAULUS VIVIPARUS"
"IWM1   ","MAZAMASTRONGYLUS SPP. - ADULT"
"IWNT   ","NECK THREADWORM"
"IWR10  ","ROUNDWORM - TOXOCARA CANIS"
"IWRB2  ","BARBER'S POLE WORM (ALSO INHIBITED L4)"
"IWRB3  ","TRICHOSTRONGYLUS SPP. - ADULT/4TH STAGE"
"IWRBS4 ","TRICHOSTRONGYLUS VITRINUS"
"IWRHWC ","HOOKWORM - ANCYLOSTOMA CEYLANICUM"
"IWRI1  ","INTESTINAL THREADWORM - S. WESTERI"
"IWRIH2 ","INTESTINAL HAIR WORM - T. COLUBRIFORMIS"
"IWRN   ","NODULE WORM - OESOPHAGOSTOMUM SPP."
"IWRR   ","ROUNDWORM - STRONGYLUS VULGARIS"
"IWRSI  ","SMALL INTESTINAL WORM "
"IWRSL  ","LARGE STOMACH WORM"
"IWRTN  ","THIN NECKED INTESTINAL WORM N. SPATHIGER"
"IWT12  ","TAPEWORM - DIPYLIDIUM SPP."
"IWT14  ","TAPEWORM - CESTODES"
"IWT4   ","TAPEWORM - ADULT/IMMATURE/HEADS/SEGMENTS"
"IWT6   ","TAPEWORM - TAENIA SPP."
"IWT7   ","TAPEWORM"
"IWT9   ","TAPEWORM - MONIEZIA SPP."
"IWTR   ","TRICHOSTRONGYLUS RUGATUS"
"IWTTH  ","FALSE HYDATID TAPEWORM-TAENIA HYDATIGENA"
"IWW4   ","WHIPWORM - TRICHURIS DISCOLOR"
"PIRI   ","RICKETTSIAE"
"PY     ","PATHOGENIC YEAST"
"SA     ","STINGING ANT"
"SPEROT ","SPEAR ROT"
"SPLB   ","SPINY LEMON BUG"
"UABM   ","COMMON MYNAH"
"UAPF   ","FERAL PIG"
"UARB   ","RABBIT"
"UARB1  ","RAT - BROWN OR NORWAY"
"UARW   ","RAT/MOUSE SPECIES RESISTANT TO WAFARIN"
"UMI1   ","MITE - DERMANYSSUS SPP."
"UMIB1  ","BROWN MITE"
"UMICO  ","COTTON MITE"
"UMIEL  ","LYCHEE ERINOSE MITE"
"UMIF1  ","BRYOBIA MITE - BRYOBIA SPP."
"UMIFC  ","CITRUS FLAT MITE"
"UMIGR  ","GRAPELEAF MITE"
"UMII   ","SHEEP ITCH MITE"
"UMIIT  ","TROPICAL SCRUB ITCH MITE"
"UMIVC  ","CITRUS BUD MITE"
"UMIWB  ","BROWN WHEAT MITE"
"UML    ","MILLIPEDE"
"UNDM   ","HOUSE DUST MITE - EGGS"
"UNEN   ","NON CYST-FORMING NEMATODE"
"UNEP   ","PIN STYLET NEMATODE"
"UNESP  ","NEMATODE - SOIL BORNE PLANT PARASITIC"
"UNEU   ","BURROWING NEMATODE - RADOPHOLUS SPP."
"UNSS   ","SNAIL AND SLUG - EXCEPT BROWN SNAILS"
"USN3   ","AQUATIC SNAIL"
"USP    ","SPIDER"
"UTIC   ","CATTLE TICK"
"UTIC1  ","CATTLE TICK - SEE LABEL RESISTANT STRAIN"
"UTIPT  ","TASMANIAN PARALYSIS TICK"
"UTIXP  ","TICK - EXCEPT PARALYSIS TICK"
"VADP   ","DIROFILARIAL PNEUMONITIS"
"VBAP   ","PEPTOSTREPTOCOCCUS SPP."
"VBBS   ","SEPTICEMIA"
"VBCOR  ","CORYNEBACTERIA"
"VBFR   ","FOOTROT - DICHELOBACTER NODOSUS"
"VBGA1  ","ACTINOMYCES BOVIS"
"VBGA2  ","ACTINOMYCES PYOGENES"
"VBGBC  ","BACILLUS CEREUS"
"VBGS3  ","STREPTOCOCCUS - HEMOLYTIC GROUP G"
"VBGV   ","VIBRIO SPP."
"VBGX1  ","COCCIDIOSIS - ISOSPORA SUIS"
"VBHP1  ","HAEMOPHILUS PARASUIS SEROVAR 13"
"VBIE   ","EIMERIA SPP."
"VBIM   ","MYCOPLASMA BOVIS"
"VBP    ","PSEUDOMONAS SPP."
"VBST   ","STAPHYLOCOCCUS - NOT PENICILLIN RESIST"
"VDAZ   ","AZOTURIA"
"VDBM   ","METRITIS"
"VDBT   ","BACTERIAL TOXIN"
"VDCP   ","FELINE CHLAMYDIA PSITTACI"
"VDD    ","DIPTHERIA"
"VDFL   ","FELINE LEUKAEMIA VIRUS"
"VDFS   ","FUSIFORMIS SPP."
"VDGL   ","GIARDIA LAMBLIA"
"VDIB   ","INFECTIOUS BRONCHITIS"
"VDLI   ","LEPTOSPIRA ICTEROHAEMORRHAGIAE"
"VDMYO  ","MYOPATHY"
"VDPED  ","PANCREATIC EXOCRINE DEFICIENCY DISEASE"
"VDRCD  ","RABBIT CALICIVIRUS DISEASE"
"!51285 ","REFER TO SIPCAM GLYPHOSATE 360 LABEL"
"**016S ","SHELLFISH"
"**ARC  ","CONTROL OF REPRODUCTION"
"ALSI   ","ALKALI SIDA"
"AVM18..","Vaccines and Antisera"
"BMMY1  ","MYCOPLASMA GALLISEPTICUM"
"BMPO   ","PORPHYROMONAS SPP"
"COYT   ","COTYLEDONS TO 2 LEAF STAGE"
"DYE    ","DYE MARKER"
"FA     ","ACIDIFYING SURFACTANT"
"FAAF   ","MONITORING & MANAGEMENT OF CARPOPHILUS B"
"FAGP   ","PRIMOCANE CONTROL"
"FANSH  ","NON-SELECTIVE HERBICIDES"
