id	command	search_clause	 not_clause	replace_clause	case sensitive	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	must_update	comments	exp_cnt	chk	dummy							
2024	sp_update	"Black sigatoka,Black sigatoka,Banana freckle disease"		"Black sigatoka,Banana freckle disease"																				
2025	sp_update	"Black sigatoka,Black sigatoka,Yellow sigatoka"		"Black sigatoka,Yellow sigatoka"																				
2026	sp_update	"Black sigatoka,Crown rot,Crown rot,Fusarium wilt"		"Black sigatoka,Crown rot,Fusarium wilt"																				
2027	sp_update	Black stripe (Panel disease)		Black stripe						Panel disease														
2028	sp_update	 2.0 liters/ha - - -																						
2029	sp_update	 3.0-4.5 liters /ha - - -																						
2030	sp_update	 30-50ml/16 l sprayload - - -																						
2031	sp_update	 3.0-4.5 liters /ha - - -								"within 24 hours after spraying,The treated field may be entered only with the use of an appropriate personal protective equipment(ppe)"														
2032	sp_update	 0.30-0.40 l prod/ha - - -								"within 24 hours after spraying,The treated field may be entered only with the use of an appropriate personal protective equipment(ppe)"														
2033	sp_update	 0.25-0.30 l/ha - - -								"within 24 hours after spraying,The treated field may be entered only with the use of an appropriate personal protective equipment(ppe)"														
2034	sp_update	 0.20-0.30 l/ha - - -								"within 24 hours after spraying,The treated field may be entered only with the use of an appropriate personal protective equipment(ppe)"														
2035	sp_update	 2.5-3.5 tbsp/16l water - - -								"within 24 hours after spraying,The treated field may be entered only with the use of an appropriate personal protective equipment(ppe)"														
2036	sp_update	" 1.5-2.0 scoops/16 l of water - harvesting can be done even a day after application,As long as the spray has already dried. do not enter treated area without protective clothing until sprays have dried. the area to be treated must be vacated by unprotected persons"								"within 24 hours after spraying,The treated field may be entered only with the use of an appropriate personal protective equipment(ppe)"														
2037	sp_update	" mix with mancozeb 448 f. 5% of oil used - no phi needed when rapid-wet is used alone. the phi required depends on the agrochemicals where rapid- do not enter treated field without protective clothing (long sleeved shrit,Long pants) until spray have dried. consult,Follow"								"within 24 hours after spraying,The treated field may be entered only with the use of an appropriate personal protective equipment(ppe)"														
2038	sp_update	 500-750 ml prod./ ha; 50-75 ml prod./ 16l water; 160-192 l/ha 0.01 ppm 0.01 ppm 28 days do not enter or allow workers to enter treated areas until spray deposits have dried up or unless a protective clothing is worn.								" 1.5-2.0 scoops/16 l of water - harvesting can be done even a day after application,As long as the spray has already dried. do not enter treated area without protective clothing until sprays have dried. the area to be treated must be vacated by unprotected persons"														
2039	sp_update	" 2-3 tbsp/ 16l water - crop sprayed with pastfat 750 sp can be harvested 2 weeks after treatment entry to fields,Crops treated with pastfat 750 sp can be done as soon as spray deposits have dried"								" mix with mancozeb 448 f. 5% of oil used - no phi needed when rapid-wet is used alone. the phi required depends on the agrochemicals where rapid- do not enter treated field without protective clothing (long sleeved shrit,Long pants) until spray have dried. consult,Follow"														
2040	sp_update	" 1.0-3.0 scoops/16 l of water harvesting can be done even a day after application,As long as the spray has already dried. do not enter treated area without protective clothing until spray have dried.the area to be treated must be vacated by unprotected persons."								 500-750 ml prod./ ha; 50-75 ml prod./ 16l water; 160-192 l/ha 0.01 ppm 0.01 ppm 28 days do not enter or allow workers to enter treated areas until spray deposits have dried up or unless a protective clothing is worn.														
2041	sp_update	" 2-3 l prod./ hectare - - re-entry can be done after the spray droplets have dried up. it is recommended to keep from disturbing the soil,Even by trodding on the"								" 2-3 tbsp/ 16l water - crop sprayed with pastfat 750 sp can be harvested 2 weeks after treatment entry to fields,Crops treated with pastfat 750 sp can be done as soon as spray deposits have dried"														
2042	sp_update	 1.0-1.5 tbsp/ 16l water do not spray 3 days before harvest. re-entry to treated fields is allowed as soon as spray deposits dry								" 1.0-3.0 scoops/16 l of water harvesting can be done even a day after application,As long as the spray has already dried. do not enter treated area without protective clothing until spray have dried.the area to be treated must be vacated by unprotected persons."														
2043	sp_update	 100-200ml product/ha; 4-13 ml/16l 0.2 thiamethoxam; 0.2 lambdacyhalothrin 7 days do not enter treated fields at least 1 day after application								" 2-3 l prod./ hectare - - re-entry can be done after the spray droplets have dried up. it is recommended to keep from disturbing the soil,Even by trodding on the"														
2044	sp_update	" 5.0 tbsp/16l water 7 days; potato,Papaya - 14days; rggplant,Onion,Tomato,Watermelon,Strawberry-3 days is allowed as soon as spray deposits had dried up."								 1.0-1.5 tbsp/ 16l water do not spray 3 days before harvest. re-entry to treated fields is allowed as soon as spray deposits dry														
2045	sp_update	" 20-40ml.product/100 liters water 50-80 ml. prod/200l water - - no re-entry within 48 hours after spray.appropriate warning signs should be placed before,After spraying"								 100-200ml product/ha; 4-13 ml/16l 0.2 thiamethoxam; 0.2 lambdacyhalothrin 7 days do not enter treated fields at least 1 day after application														
2046	sp_update	" 4.5-6.0 tbsp - for banana there is no pre-harvest interval necessary from last spray until harvest but for other crops,7-14 do not enter unless spray deposits have dried"								" 5.0 tbsp/16l water 7 days; potato,Papaya - 14days; rggplant,Onion,Tomato,Watermelon,Strawberry-3 days is allowed as soon as spray deposits had dried up."														
2047	sp_update	 6.0-8.5 tbsp/16 l harvesting may be done on the day of application. re-entry into trated areas may be done as soon as spray solution has died on the foiliage								" 20-40ml.product/100 liters water 50-80 ml. prod/200l water - - no re-entry within 48 hours after spray.appropriate warning signs should be placed before,After spraying"														
2048	sp_update	" 50-75 (ml),Mix the required rate plus 100 ml water,Mix per 9 kg of corn - one day after application do not apply 7 days before harvest"																						
2049	sp_update	" 1.0-3.0 tbsp/16 l water when applied at recommended rates,Very short or no harvest interval will be necessary re-entry to field is allowed as soon as spray deposit dries"																						
2050	sp_update	 2.5-3.5 tbsp/16l water - discontinue spraying at least 15 days before harvest. entry to fields sprayed with the product is not allowed within two days after application.																						
2051	sp_update	 1.5-2.0tbsp/16 l water - do not spray within 10 days before harvest do not enter treated field within 2 days after spraying																						
2052	sp_update	 1.5-2.0tbsp/16 l water - do not spray within 10 days before harvest do not enter treated field within 2 days after spraying																						
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
