id	REGION	PROVINCE	DISTRIBUTOR_NM	ADDRESS	PHONE 1	PHONE 2
41	Region 11	Davao Del Sur	Lapanday Agricultural and Development Corporation	"Maryknoll Drive, Brgy. Pampanga Davao"	(082) 235 2551	
42	Region 11	Davao Del Sur	Lapanday Foods Corporation	"Maryknoll Drive, Brgy. Pampanga Davao"	(082) 235 2551	
43	Region 11	Davao Del Sur	Mars Agriventures and Commodities Inc.	"J.Saavedra Street, Toril, Davao City, Davao Del Sur"	(082) 291 0928	
44	Region 12	Cotabato	Razonable Agricultural Inputs Distributors Inc.	"Public Market, Kidapawan City, North Cotabato"	(064) 288 1552	
45	Region 12	South Cotabato	Abigail Farm Supply Inc.	"Tomas Cladio Street, Barangay Libertad, Surallah, South Cotabato"	(083) 238 3753	
46	Region 12	South Cotabato	"Agri Biz Co. of GS, Inc."	"Ang Kailan Building, Labangal National Highway, General Santos City, South Cotabato"	(083) 552 3976	
47	Region 12	South Cotabato	Green Gems Farm Supply	"Zulueta Street, Koronadal City, South Catabato"	(083) 228 4046	
48	Region 12	South Cotabato	Marbel Quality Farm Supply Corporation	"Public Market, Koronadal City, South Cotabato"	(083) 228 2670	
49	Region 12	Sultan Kudarat	Nature's Blessed 7 Agri Inc.	"Poblacion 3 Pasandalan, Lebak, Sultan Kudarat"	(064) 205 3320	(064) 205 3017
50	Region 13	Agusan Del Norte	Agusan Farmers Edge Agricultural Supply	"Obrero,Butuan City, Agusan Del Norte"	(085) 225 9363	
51	Region 13	Agusan Del Norte	"CFS Agri - Ventures, Inc."	"Langihan Public Market, Butuan City, Agusan Del Norte"	(085) 342 5727	
52	Region 13	Agusan Del Norte	Jeels Masagana Farm Supply	"1 Satorre Street, P-3A-1 Holy Redeemer corner Ochoa Street, Butuan City, Agusan Del Norte"	(085) 341 4926	
